Institute,Location
Indian Institute of Technology Bhubaneswar,Odisha
Indian Institute of Technology Bombay,Maharashtra
Indian Institute of Technology Mandi,Himachal Pradesh
Indian Institute of Technology Delhi,Delhi
Indian Institute of Technology Indore,Madhya Pradesh
Indian Institute of Technology Kharagpur,West Bengal
Indian Institute of Technology Hyderabad,Telangana
Indian Institute of Technology Jodhpur,Rajasthan
Indian Institute of Technology Kanpur,Uttar Pradesh
Indian Institute of Technology Madras,Tamil Nadu
Indian Institute of Technology Gandhinagar,Gujarat
Indian Institute of Technology Patna,Bihar
Indian Institute of Technology Roorkee,Uttarakhand
Indian Institute of Technology (ISM) Dhanbad,Jharkhand
Indian Institute of Technology Ropar,Punjab
Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh
Indian Institute of Technology Guwahati,Assam
Indian Institute of Technology Bhilai,Chhattisgarh
Indian Institute of Technology Goa,Goa
Indian Institute of Technology Palakkad,Kerala
Indian Institute of Technology Tirupati,Andhra Pradesh
Indian Institute of Technology Jammu,Jammu and Kashmir
Indian Institute of Technology Dharwad,Karnataka
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab
Malaviya National Institute of Technology Jaipur,Rajasthan
Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh
Motilal Nehru National Institute of Technology Allahabad,Uttar Pradesh
National Institute of Technology Agartala,Tripura
National Institute of Technology Calicut,Kerala
National Institute of Technology Delhi,Delhi
National Institute of Technology Durgapur,West Bengal
National Institute of Technology Goa,Goa
National Institute of Technology Hamirpur,Himachal Pradesh
"National Institute of Technology Karnataka, Surathkal",Karnataka
National Institute of Technology Meghalaya,Meghalaya
National Institute of Technology Nagaland,Nagaland
National Institute of Technology Patna,Bihar
National Institute of Technology Puducherry,Puducherry
National Institute of Technology Raipur,Chhattisgarh
National Institute of Technology Sikkim,Sikkim
National Institute of Technology Arunachal Pradesh,Arunachal Pradesh
"National Institute of Technology, Jamshedpur",Jharkhand
"National Institute of Technology, Kurukshetra",Haryana
"National Institute of Technology, Manipur",Manipur
"National Institute of Technology, Mizoram",Mizoram
"National Institute of Technology, Rourkela",Odisha
"National Institute of Technology, Silchar",Assam
"National Institute of Technology, Srinagar",Jammu and Kashmir
"National Institute of Technology, Tiruchirappalli",Tamil Nadu
"National Institute of Technology, Uttarakhand",Uttarakhand
"National Institute of Technology, Warangal",Telangana
"Sardar Vallabhbhai National Institute of Technology, Surat",Gujarat
"Visvesvaraya National Institute of Technology, Nagpur",Maharashtra
"National Institute of Technology, Andhra Pradesh",Andhra Pradesh
"Indian Institute of Engineering Science and Technology, Shibpur",West Bengal
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Madhya Pradesh
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",Rajasthan
Indian Institute of Information Technology Guwahati,Assam
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",West Bengal
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",Haryana
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",Himachal Pradesh
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Andhra Pradesh
"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",Gujarat
"Indian Institute of Information Technology, Allahabad",Uttar Pradesh
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Tamil Nadu
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Madhya Pradesh
Indian Institute of Information Technology Manipur,Manipur
"Indian Institute of Information Technology Srirangam, Tiruchirappalli",Tamil Nadu
Indian Institute of Information Technology Lucknow,Uttar Pradesh
Indian Institute of Information Technology(IIIT) Dharwad,Karnataka
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",Andhra Pradesh
Indian Institute of Information Technology(IIIT) Kottayam,Kerala
Indian Institute of Information Technology (IIIT) Ranchi,Jharkhand
Indian Institute of Information Technology (IIIT) Nagpur,Maharashtra
Indian Institute of Information Technology (IIIT) Pune,Maharashtra
Indian Institute of Information Technology Bhagalpur,Bihar
Indian Institute of Information Technology Bhopal,Madhya Pradesh
Indian Institute of Information Technology Surat,Gujarat
"Indian Institute of Information Technology, Agartala",Tripura
"Indian institute of information technology, Raichur, Karnataka",Karnataka
"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",Gujarat
"Assam University, Silchar",Assam
"Birla Institute of Technology, Mesra, Ranchi",Jharkhand
"Gurukula Kangri Vishwavidyalaya, Haridwar",Uttarakhand
"Indian Institute of Carpet Technology, Bhadohi",Uttar Pradesh
"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",Gujarat
